campaign_touch_id,activity_month,vehicle_segment,model_year_position,powertrain_focus,primary_channel,secondary_channel_syndicated_flag,shopper_intent_decile,market_region_tier,nameplate_lifecycle_stage,incentive_program_pressure_band,competitive_conquest_intensity_band,days_supply_inventory_proxy_band,auto_loan_rate_environment_band,personalization_depth_band,dealer_cosponsored_local_campaign_flag,days_since_last_brand_engagement,major_auto_show_or_event_window_flag,ev_adoption_maturity_region_band,ad_frequency_saturation_risk_band,certified_preowned_vs_new_intent_context,credit_availability_consumer_stress_band,multicultural_locale_creative_match_flag,qualified_marketing_milestone_achieved
AMK-00043931,2024-04,Midsize / 3-Row SUV,Prior Year Closeout,Hybrid,Paid Social,No,10,US – Rural / Exurban,New Launch / Fresh Reveal,Moderate APR / Cash,Low,Tight – Under 30,Flat,Generic,No,43,No,Early Market,Low Exposure,New Vehicle Focus,Benign,Yes,0
AMK-00043932,2024-04,Midsize Sedan,Next MY Pre-Order,ICE,Email – CRM,Yes,4,US – Major Metro,Mid-Cycle Refresh,Heavy Stair-Step Risk,Moderate,High – Over 60,Favourable vs Prior Quarter,Generic,No,34,No,Early Market,Typical,New Vehicle Focus,Benign,No,0
AMK-00043933,2024-09,Full-Size Pickup,Prior Year Closeout,ICE,Paid Search,Yes,3,US – Rural / Exurban,New Launch / Fresh Reveal,Light Incentives,Moderate,Tight – Under 30,Flat,1:1 Next-Best-Offer,Yes,36,No,Growing,Low Exposure,New Vehicle Focus,Tightening,No,0
AMK-00043934,2022-06,Compact SUV / Crossover,Next MY Pre-Order,ICE,Paid Search,Yes,7,Other Market,Steady State,Heavy Stair-Step Risk,Low,Tight – Under 30,Adverse – Rising APR,Segmented,Yes,44,No,Mature EV Penetration,Typical,New Vehicle Focus,Constrained,No,1
AMK-00043935,2024-05,Performance / Specialty,Next MY Pre-Order,Hybrid,Email – CRM,No,1,US – Major Metro,Steady State,Moderate APR / Cash,Low,High – Over 60,Flat,1:1 Next-Best-Offer,No,38,No,Growing,Typical,New Vehicle Focus,Benign,No,0
AMK-00043936,2024-12,EV Crossover,Current Model Year,ICE,Email – CRM,Yes,8,US – Rural / Exurban,New Launch / Fresh Reveal,Heavy Stair-Step Risk,Moderate,Balanced,Flat,Segmented,No,29,No,Growing,High Fatigue Risk,New Vehicle Focus,Benign,No,0
AMK-00043937,2022-08,Full-Size Pickup,Current Model Year,BEV,Paid Search,Yes,4,US – Rural / Exurban,Mid-Cycle Refresh,Moderate APR / Cash,Moderate,High – Over 60,Adverse – Rising APR,Generic,Yes,27,No,Early Market,Typical,New Vehicle Focus,Benign,Yes,0
AMK-00043938,2024-07,Midsize / 3-Row SUV,Current Model Year,ICE,Paid Search,No,2,US – Rural / Exurban,Steady State,Light Incentives,Low,Tight – Under 30,Flat,Segmented,No,37,No,Growing,Typical,New Vehicle Focus,Benign,No,0
AMK-00043939,2022-10,Midsize Sedan,Current Model Year,ICE,Paid Social,No,3,Other Market,New Launch / Fresh Reveal,Moderate APR / Cash,Low,Balanced,Adverse – Rising APR,Segmented,Yes,34,No,Growing,Low Exposure,New Vehicle Focus,Tightening,No,0
AMK-00043940,2024-07,Full-Size Pickup,Prior Year Closeout,ICE,Paid Search,No,9,US – Major Metro,Steady State,Moderate APR / Cash,High – New Entrants,Tight – Under 30,Favourable vs Prior Quarter,Segmented,Yes,45,No,Growing,Typical,New Vehicle Focus,Benign,No,0
AMK-00043941,2023-07,Compact SUV / Crossover,Prior Year Closeout,ICE,Paid Social,No,10,US – Major Metro,New Launch / Fresh Reveal,Heavy Stair-Step Risk,Low,Balanced,Favourable vs Prior Quarter,Generic,No,39,No,Early Market,Typical,New Vehicle Focus,Benign,No,0
AMK-00043942,2024-07,EV Crossover,Current Model Year,Hybrid,Paid Search,Yes,8,US – Suburban / Secondary,Mid-Cycle Refresh,Moderate APR / Cash,Moderate,High – Over 60,Flat,Generic,Yes,43,No,Growing,Low Exposure,CPO / Used Consideration,Tightening,No,0
AMK-00043943,2022-12,EV Crossover,Current Model Year,ICE,Paid Search,No,3,US – Suburban / Secondary,Steady State,Light Incentives,Moderate,Balanced,Adverse – Rising APR,Segmented,No,41,No,Early Market,Typical,CPO / Used Consideration,Tightening,Yes,0
AMK-00043944,2024-05,EV Crossover,Prior Year Closeout,BEV,OEM Website / App,Yes,6,US – Suburban / Secondary,Mid-Cycle Refresh,Light Incentives,Low,Tight – Under 30,Flat,1:1 Next-Best-Offer,Yes,43,No,Growing,Low Exposure,New Vehicle Focus,Tightening,No,1
AMK-00043945,2023-11,EV Crossover,Prior Year Closeout,BEV,Dealer Co-op – Local Digital,Yes,2,US – Major Metro,Steady State,Heavy Stair-Step Risk,Low,Balanced,Adverse – Rising APR,Segmented,No,35,No,Growing,Low Exposure,New Vehicle Focus,Tightening,No,0
AMK-00043946,2024-03,Full-Size Pickup,Current Model Year,PHEV,Paid Search,No,7,US – Suburban / Secondary,Steady State,Light Incentives,Low,Balanced,Adverse – Rising APR,Generic,Yes,41,No,Growing,Typical,Mixed / Undecided,Constrained,No,0
AMK-00043947,2023-11,Midsize / 3-Row SUV,Current Model Year,ICE,Paid Social,No,6,US – Major Metro,Steady State,Moderate APR / Cash,Moderate,Balanced,Favourable vs Prior Quarter,Generic,Yes,32,No,Early Market,Typical,New Vehicle Focus,Tightening,Yes,0
AMK-00043948,2023-03,EV Crossover,Current Model Year,ICE,Email – CRM,Yes,5,US – Suburban / Secondary,New Launch / Fresh Reveal,Moderate APR / Cash,High – New Entrants,Balanced,Adverse – Rising APR,Generic,No,31,No,Early Market,High Fatigue Risk,Mixed / Undecided,Benign,Yes,0
AMK-00043949,2023-07,EV Crossover,Prior Year Closeout,BEV,OEM Website / App,No,3,Other Market,Runout / End of Generation,Light Incentives,Moderate,Balanced,Flat,1:1 Next-Best-Offer,No,37,No,Early Market,High Fatigue Risk,New Vehicle Focus,Tightening,Yes,0
AMK-00043950,2023-11,Performance / Specialty,Current Model Year,Hybrid,Paid Social,No,6,Canada,Steady State,Moderate APR / Cash,Moderate,Tight – Under 30,Flat,Segmented,Yes,43,No,Early Market,High Fatigue Risk,New Vehicle Focus,Benign,Yes,0
AMK-00043951,2022-11,EV Crossover,Current Model Year,Hybrid,Dealer Co-op – Local Digital,No,5,US – Suburban / Secondary,Mid-Cycle Refresh,Moderate APR / Cash,Moderate,High – Over 60,Adverse – Rising APR,1:1 Next-Best-Offer,No,36,No,Growing,Typical,New Vehicle Focus,Tightening,Yes,0
AMK-00043952,2023-06,Midsize / 3-Row SUV,Current Model Year,BEV,Paid Social,No,2,US – Suburban / Secondary,Mid-Cycle Refresh,Light Incentives,Low,Balanced,Flat,Segmented,No,38,No,Early Market,Low Exposure,New Vehicle Focus,Tightening,No,0
AMK-00043953,2022-05,Compact SUV / Crossover,Current Model Year,ICE,Paid Search,No,1,US – Major Metro,Steady State,Moderate APR / Cash,Moderate,High – Over 60,Flat,Generic,No,36,No,Growing,Typical,New Vehicle Focus,Tightening,No,0
AMK-00043954,2025-09,EV Crossover,Current Model Year,ICE,Dealer Co-op – Local Digital,No,4,US – Major Metro,New Launch / Fresh Reveal,Moderate APR / Cash,High – New Entrants,High – Over 60,Favourable vs Prior Quarter,Segmented,No,33,No,Mature EV Penetration,Typical,New Vehicle Focus,Tightening,Yes,0
AMK-00043955,2022-03,Full-Size Pickup,Current Model Year,PHEV,Programmatic Video / CTV,No,6,US – Suburban / Secondary,New Launch / Fresh Reveal,Light Incentives,High – New Entrants,High – Over 60,Flat,Generic,No,40,No,Mature EV Penetration,Typical,New Vehicle Focus,Benign,No,0
AMK-00043956,2023-07,Full-Size Pickup,Current Model Year,BEV,Paid Social,No,1,US – Major Metro,Steady State,Light Incentives,Moderate,Tight – Under 30,Adverse – Rising APR,Segmented,Yes,45,No,Mature EV Penetration,Typical,New Vehicle Focus,Benign,No,1
AMK-00043957,2023-08,Compact SUV / Crossover,Prior Year Closeout,ICE,Programmatic Video / CTV,No,10,Canada,Steady State,Moderate APR / Cash,Low,Tight – Under 30,Adverse – Rising APR,1:1 Next-Best-Offer,No,31,No,Growing,Low Exposure,CPO / Used Consideration,Benign,No,1
AMK-00043958,2024-04,Full-Size Pickup,Current Model Year,Hybrid,OEM Website / App,Yes,3,US – Major Metro,Steady State,Moderate APR / Cash,Low,Tight – Under 30,Adverse – Rising APR,Generic,No,43,No,Mature EV Penetration,Typical,New Vehicle Focus,Constrained,Yes,0
AMK-00043959,2022-11,EV Crossover,Prior Year Closeout,ICE,Paid Social,No,4,US – Rural / Exurban,Steady State,Heavy Stair-Step Risk,Low,Tight – Under 30,Adverse – Rising APR,1:1 Next-Best-Offer,No,36,No,Mature EV Penetration,Typical,CPO / Used Consideration,Benign,No,1
AMK-00043960,2025-05,Compact SUV / Crossover,Current Model Year,ICE,OEM Website / App,Yes,3,Canada,Mid-Cycle Refresh,Moderate APR / Cash,Moderate,Balanced,Adverse – Rising APR,Segmented,Yes,39,No,Growing,Low Exposure,New Vehicle Focus,Benign,No,0
AMK-00043961,2025-10,Performance / Specialty,Current Model Year,ICE,Programmatic Video / CTV,No,6,US – Suburban / Secondary,Runout / End of Generation,Light Incentives,Moderate,High – Over 60,Flat,1:1 Next-Best-Offer,No,34,No,Growing,Typical,New Vehicle Focus,Tightening,Yes,0
AMK-00043962,2022-04,Midsize Sedan,Current Model Year,ICE,Paid Search,No,5,US – Suburban / Secondary,New Launch / Fresh Reveal,Light Incentives,Moderate,Balanced,Favourable vs Prior Quarter,Generic,No,33,No,Mature EV Penetration,Typical,CPO / Used Consideration,Constrained,No,0
AMK-00043963,2023-11,Performance / Specialty,Current Model Year,ICE,Paid Social,No,3,US – Major Metro,Steady State,Moderate APR / Cash,Moderate,Balanced,Adverse – Rising APR,Segmented,No,47,Yes,Growing,Low Exposure,New Vehicle Focus,Benign,No,0
AMK-00043964,2023-03,Midsize Sedan,Current Model Year,ICE,Paid Social,No,2,US – Rural / Exurban,New Launch / Fresh Reveal,Moderate APR / Cash,Moderate,Tight – Under 30,Flat,Generic,No,37,No,Growing,High Fatigue Risk,New Vehicle Focus,Constrained,No,0
AMK-00043965,2022-07,Midsize / 3-Row SUV,Current Model Year,ICE,Paid Search,Yes,8,US – Suburban / Secondary,Mid-Cycle Refresh,Light Incentives,Low,Balanced,Flat,Generic,Yes,33,No,Early Market,Low Exposure,Mixed / Undecided,Tightening,Yes,1
AMK-00043966,2023-04,Midsize Sedan,Current Model Year,BEV,Paid Search,Yes,2,US – Major Metro,Steady State,Light Incentives,High – New Entrants,Tight – Under 30,Adverse – Rising APR,1:1 Next-Best-Offer,No,33,No,Mature EV Penetration,Typical,CPO / Used Consideration,Benign,No,0
AMK-00043967,2024-04,Full-Size Pickup,Current Model Year,ICE,Paid Search,Yes,2,US – Major Metro,Mid-Cycle Refresh,Light Incentives,Moderate,Balanced,Favourable vs Prior Quarter,Segmented,Yes,33,Yes,Mature EV Penetration,Typical,New Vehicle Focus,Tightening,Yes,0
AMK-00043968,2025-08,Full-Size Pickup,Current Model Year,ICE,Paid Social,Yes,7,US – Suburban / Secondary,Steady State,Light Incentives,Moderate,Tight – Under 30,Adverse – Rising APR,1:1 Next-Best-Offer,No,37,No,Early Market,Typical,New Vehicle Focus,Benign,No,0
AMK-00043969,2023-09,Compact SUV / Crossover,Next MY Pre-Order,ICE,Programmatic Video / CTV,Yes,3,US – Major Metro,Steady State,Moderate APR / Cash,Moderate,Balanced,Favourable vs Prior Quarter,Generic,Yes,39,No,Growing,Typical,CPO / Used Consideration,Benign,No,0
AMK-00043970,2025-06,Midsize / 3-Row SUV,Current Model Year,ICE,Dealer Co-op – Local Digital,No,6,US – Major Metro,Mid-Cycle Refresh,Heavy Stair-Step Risk,Low,High – Over 60,Favourable vs Prior Quarter,Generic,No,32,No,Growing,Low Exposure,New Vehicle Focus,Tightening,No,0
AMK-00043971,2025-04,Midsize Sedan,Prior Year Closeout,Hybrid,Dealer Co-op – Local Digital,No,5,US – Suburban / Secondary,Steady State,Light Incentives,Low,Tight – Under 30,Favourable vs Prior Quarter,1:1 Next-Best-Offer,Yes,46,No,Growing,Typical,New Vehicle Focus,Benign,Yes,0
AMK-00043972,2023-03,Compact SUV / Crossover,Prior Year Closeout,Hybrid,Dealer Co-op – Local Digital,Yes,5,US – Suburban / Secondary,Runout / End of Generation,Light Incentives,Low,Balanced,Adverse – Rising APR,Segmented,Yes,37,No,Growing,High Fatigue Risk,New Vehicle Focus,Tightening,No,0
AMK-00043973,2024-11,Compact SUV / Crossover,Current Model Year,PHEV,Paid Social,Yes,8,US – Suburban / Secondary,Steady State,Light Incentives,High – New Entrants,Tight – Under 30,Adverse – Rising APR,1:1 Next-Best-Offer,No,42,No,Early Market,Typical,New Vehicle Focus,Tightening,No,0
AMK-00043974,2023-12,Midsize Sedan,Current Model Year,ICE,Dealer Co-op – Local Digital,Yes,5,US – Major Metro,New Launch / Fresh Reveal,Light Incentives,High – New Entrants,High – Over 60,Adverse – Rising APR,Generic,No,37,No,Early Market,Low Exposure,Mixed / Undecided,Tightening,Yes,0
AMK-00043975,2024-01,Full-Size Pickup,Current Model Year,ICE,Email – CRM,No,3,US – Major Metro,Steady State,Light Incentives,Moderate,Tight – Under 30,Flat,Generic,Yes,33,No,Early Market,Typical,New Vehicle Focus,Benign,Yes,1
AMK-00043976,2024-06,Midsize / 3-Row SUV,Next MY Pre-Order,ICE,OEM Website / App,No,4,US – Major Metro,Mid-Cycle Refresh,Moderate APR / Cash,Moderate,Balanced,Favourable vs Prior Quarter,Generic,Yes,44,Yes,Early Market,High Fatigue Risk,New Vehicle Focus,Tightening,Yes,0
AMK-00043977,2024-08,Full-Size Pickup,Current Model Year,ICE,Paid Social,Yes,1,US – Suburban / Secondary,New Launch / Fresh Reveal,Light Incentives,Moderate,Balanced,Flat,Segmented,No,41,No,Growing,Typical,Mixed / Undecided,Benign,No,0
AMK-00043978,2024-05,Midsize / 3-Row SUV,Current Model Year,BEV,Paid Search,Yes,9,US – Suburban / Secondary,Steady State,Moderate APR / Cash,High – New Entrants,Balanced,Adverse – Rising APR,Segmented,Yes,41,No,Growing,Low Exposure,Mixed / Undecided,Tightening,Yes,0
AMK-00043979,2023-08,EV Crossover,Current Model Year,BEV,Dealer Co-op – Local Digital,Yes,2,US – Suburban / Secondary,Runout / End of Generation,Moderate APR / Cash,Low,Tight – Under 30,Favourable vs Prior Quarter,Segmented,No,46,No,Early Market,Low Exposure,New Vehicle Focus,Benign,Yes,0
AMK-00043980,2024-05,Compact SUV / Crossover,Current Model Year,ICE,Email – CRM,No,8,Canada,Steady State,Moderate APR / Cash,High – New Entrants,High – Over 60,Favourable vs Prior Quarter,Generic,Yes,24,No,Growing,Low Exposure,Mixed / Undecided,Tightening,No,0
AMK-00043981,2022-05,Full-Size Pickup,Next MY Pre-Order,Hybrid,Paid Search,Yes,1,US – Suburban / Secondary,Mid-Cycle Refresh,Moderate APR / Cash,Moderate,High – Over 60,Adverse – Rising APR,1:1 Next-Best-Offer,Yes,50,No,Early Market,Typical,New Vehicle Focus,Tightening,Yes,0
AMK-00043982,2025-11,Compact SUV / Crossover,Prior Year Closeout,Hybrid,Paid Social,No,8,US – Suburban / Secondary,Steady State,Moderate APR / Cash,Moderate,Balanced,Flat,Generic,No,41,No,Early Market,High Fatigue Risk,New Vehicle Focus,Benign,No,0
AMK-00043983,2022-10,Midsize / 3-Row SUV,Current Model Year,Hybrid,Programmatic Video / CTV,No,7,US – Suburban / Secondary,Steady State,Light Incentives,Moderate,Balanced,Favourable vs Prior Quarter,Generic,No,41,No,Mature EV Penetration,Typical,New Vehicle Focus,Benign,No,1
AMK-00043984,2023-07,Compact SUV / Crossover,Current Model Year,BEV,Email – CRM,No,10,US – Suburban / Secondary,Steady State,Moderate APR / Cash,Low,High – Over 60,Adverse – Rising APR,1:1 Next-Best-Offer,No,49,No,Early Market,Low Exposure,New Vehicle Focus,Tightening,No,0
AMK-00043985,2022-01,Full-Size Pickup,Current Model Year,PHEV,Paid Social,Yes,9,US – Major Metro,Steady State,Light Incentives,High – New Entrants,Tight – Under 30,Flat,Segmented,No,33,No,Growing,Typical,CPO / Used Consideration,Constrained,Yes,0
AMK-00043986,2022-10,Midsize / 3-Row SUV,Prior Year Closeout,ICE,Programmatic Video / CTV,Yes,9,US – Suburban / Secondary,Steady State,Light Incentives,Moderate,Balanced,Adverse – Rising APR,Segmented,No,34,No,Mature EV Penetration,Low Exposure,New Vehicle Focus,Constrained,Yes,0
AMK-00043987,2022-03,Midsize / 3-Row SUV,Next MY Pre-Order,ICE,Dealer Co-op – Local Digital,No,10,Canada,New Launch / Fresh Reveal,Moderate APR / Cash,High – New Entrants,High – Over 60,Favourable vs Prior Quarter,Segmented,Yes,33,No,Growing,Low Exposure,New Vehicle Focus,Benign,No,0
AMK-00043988,2022-03,Compact SUV / Crossover,Prior Year Closeout,Hybrid,Programmatic Video / CTV,Yes,3,US – Major Metro,Mid-Cycle Refresh,Light Incentives,Moderate,High – Over 60,Favourable vs Prior Quarter,1:1 Next-Best-Offer,No,39,No,Mature EV Penetration,Typical,CPO / Used Consideration,Benign,No,0
AMK-00043989,2024-05,Compact SUV / Crossover,Current Model Year,ICE,Paid Social,No,5,US – Suburban / Secondary,New Launch / Fresh Reveal,Light Incentives,High – New Entrants,Balanced,Flat,Segmented,Yes,36,Yes,Mature EV Penetration,Typical,CPO / Used Consideration,Benign,Yes,0
AMK-00043990,2023-11,Full-Size Pickup,Current Model Year,PHEV,Programmatic Video / CTV,Yes,1,US – Rural / Exurban,Steady State,Light Incentives,Moderate,Tight – Under 30,Favourable vs Prior Quarter,Generic,Yes,30,No,Mature EV Penetration,High Fatigue Risk,CPO / Used Consideration,Benign,No,0
AMK-00043991,2023-04,Compact SUV / Crossover,Current Model Year,ICE,Programmatic Video / CTV,No,8,Other Market,Steady State,Light Incentives,Low,High – Over 60,Adverse – Rising APR,Segmented,No,36,No,Growing,High Fatigue Risk,Mixed / Undecided,Tightening,No,0
AMK-00043992,2024-04,Midsize / 3-Row SUV,Current Model Year,PHEV,Paid Social,Yes,6,US – Rural / Exurban,Runout / End of Generation,Light Incentives,Moderate,Balanced,Flat,1:1 Next-Best-Offer,No,45,No,Mature EV Penetration,Low Exposure,New Vehicle Focus,Tightening,No,0
AMK-00043993,2023-09,Compact SUV / Crossover,Prior Year Closeout,ICE,Paid Social,No,5,US – Suburban / Secondary,Steady State,Heavy Stair-Step Risk,Moderate,Balanced,Flat,1:1 Next-Best-Offer,No,42,No,Growing,Typical,New Vehicle Focus,Tightening,No,1
AMK-00043994,2022-03,Midsize / 3-Row SUV,Current Model Year,PHEV,Paid Social,Yes,8,Other Market,Steady State,Light Incentives,Moderate,Tight – Under 30,Adverse – Rising APR,Generic,Yes,48,No,Mature EV Penetration,Typical,CPO / Used Consideration,Constrained,No,0
AMK-00043995,2024-12,EV Crossover,Current Model Year,BEV,Paid Social,No,8,US – Major Metro,Runout / End of Generation,Light Incentives,Low,Balanced,Favourable vs Prior Quarter,Generic,No,36,No,Growing,Typical,New Vehicle Focus,Benign,Yes,1
AMK-00043996,2024-02,Full-Size Pickup,Prior Year Closeout,Hybrid,Programmatic Video / CTV,Yes,8,US – Major Metro,Steady State,Light Incentives,Moderate,Balanced,Favourable vs Prior Quarter,1:1 Next-Best-Offer,Yes,37,No,Early Market,Low Exposure,CPO / Used Consideration,Tightening,No,0
AMK-00043997,2024-05,EV Crossover,Next MY Pre-Order,ICE,Programmatic Video / CTV,Yes,10,US – Major Metro,Steady State,Light Incentives,Moderate,Balanced,Adverse – Rising APR,1:1 Next-Best-Offer,Yes,36,No,Mature EV Penetration,Typical,New Vehicle Focus,Tightening,No,1
AMK-00043998,2023-10,Full-Size Pickup,Prior Year Closeout,BEV,Programmatic Video / CTV,No,3,Canada,Steady State,Moderate APR / Cash,Low,Tight – Under 30,Flat,1:1 Next-Best-Offer,Yes,38,No,Growing,Typical,CPO / Used Consideration,Tightening,Yes,1
AMK-00043999,2024-09,Midsize Sedan,Prior Year Closeout,BEV,Email – CRM,Yes,2,US – Suburban / Secondary,Steady State,Moderate APR / Cash,High – New Entrants,Balanced,Adverse – Rising APR,Segmented,No,43,No,Mature EV Penetration,Low Exposure,New Vehicle Focus,Tightening,Yes,0
AMK-00044000,2023-06,EV Crossover,Prior Year Closeout,ICE,Programmatic Video / CTV,No,8,US – Rural / Exurban,Runout / End of Generation,Moderate APR / Cash,High – New Entrants,Balanced,Flat,Segmented,Yes,30,No,Early Market,High Fatigue Risk,New Vehicle Focus,Tightening,No,0
AMK-00044001,2023-02,Full-Size Pickup,Current Model Year,ICE,Paid Social,No,2,US – Major Metro,New Launch / Fresh Reveal,Light Incentives,Moderate,Balanced,Flat,1:1 Next-Best-Offer,No,28,No,Mature EV Penetration,Low Exposure,New Vehicle Focus,Benign,No,0
AMK-00044002,2024-08,Midsize Sedan,Current Model Year,ICE,Dealer Co-op – Local Digital,Yes,6,US – Suburban / Secondary,New Launch / Fresh Reveal,Moderate APR / Cash,High – New Entrants,Balanced,Adverse – Rising APR,1:1 Next-Best-Offer,No,48,No,Growing,Typical,New Vehicle Focus,Benign,Yes,0
AMK-00044003,2024-07,EV Crossover,Current Model Year,BEV,Programmatic Video / CTV,No,8,US – Major Metro,Runout / End of Generation,Moderate APR / Cash,Moderate,Tight – Under 30,Flat,Segmented,No,48,Yes,Growing,Typical,Mixed / Undecided,Tightening,Yes,1
AMK-00044004,2022-12,Midsize / 3-Row SUV,Current Model Year,Hybrid,Paid Social,No,9,Canada,Steady State,Light Incentives,Low,Balanced,Adverse – Rising APR,Generic,No,33,No,Growing,Typical,CPO / Used Consideration,Benign,No,0
AMK-00044005,2022-04,Full-Size Pickup,Current Model Year,Hybrid,OEM Website / App,No,9,US – Rural / Exurban,Mid-Cycle Refresh,Light Incentives,Low,Tight – Under 30,Adverse – Rising APR,1:1 Next-Best-Offer,No,37,Yes,Growing,Typical,New Vehicle Focus,Benign,No,1
AMK-00044006,2025-01,Midsize / 3-Row SUV,Current Model Year,PHEV,Paid Social,Yes,2,US – Rural / Exurban,New Launch / Fresh Reveal,Light Incentives,Low,High – Over 60,Favourable vs Prior Quarter,Segmented,No,35,Yes,Growing,Low Exposure,CPO / Used Consideration,Constrained,Yes,0
AMK-00044007,2025-09,Compact SUV / Crossover,Current Model Year,BEV,Programmatic Video / CTV,No,5,US – Suburban / Secondary,New Launch / Fresh Reveal,Heavy Stair-Step Risk,Moderate,Balanced,Adverse – Rising APR,Segmented,Yes,35,No,Growing,Low Exposure,New Vehicle Focus,Benign,Yes,1
AMK-00044008,2025-03,Full-Size Pickup,Current Model Year,ICE,Paid Social,No,1,US – Suburban / Secondary,Steady State,Moderate APR / Cash,High – New Entrants,Balanced,Adverse – Rising APR,Segmented,No,40,No,Growing,Low Exposure,Mixed / Undecided,Benign,No,0
AMK-00044009,2023-03,Compact SUV / Crossover,Prior Year Closeout,ICE,Auto Show / Experiential,No,1,US – Major Metro,Steady State,Heavy Stair-Step Risk,Moderate,Balanced,Flat,Segmented,No,45,No,Growing,Low Exposure,CPO / Used Consideration,Benign,Yes,1
AMK-00044010,2024-08,Full-Size Pickup,Prior Year Closeout,BEV,Paid Social,No,7,US – Major Metro,Mid-Cycle Refresh,Light Incentives,High – New Entrants,Balanced,Flat,1:1 Next-Best-Offer,Yes,44,No,Early Market,Typical,New Vehicle Focus,Benign,No,0
AMK-00044011,2022-07,Midsize Sedan,Current Model Year,ICE,Auto Show / Experiential,No,1,Other Market,New Launch / Fresh Reveal,Moderate APR / Cash,High – New Entrants,High – Over 60,Adverse – Rising APR,Segmented,No,39,No,Mature EV Penetration,High Fatigue Risk,CPO / Used Consideration,Tightening,No,0
AMK-00044012,2024-03,Compact SUV / Crossover,Prior Year Closeout,ICE,Dealer Co-op – Local Digital,Yes,1,US – Suburban / Secondary,Steady State,Moderate APR / Cash,Low,Balanced,Favourable vs Prior Quarter,Generic,No,34,No,Mature EV Penetration,High Fatigue Risk,New Vehicle Focus,Benign,Yes,0
AMK-00044013,2025-03,Compact SUV / Crossover,Current Model Year,BEV,Paid Social,No,2,US – Major Metro,Runout / End of Generation,Moderate APR / Cash,Moderate,Balanced,Favourable vs Prior Quarter,Segmented,No,47,No,Early Market,Low Exposure,Mixed / Undecided,Benign,No,0
AMK-00044014,2024-07,Midsize Sedan,Current Model Year,BEV,OEM Website / App,Yes,3,US – Suburban / Secondary,Steady State,Moderate APR / Cash,Moderate,Balanced,Flat,Generic,No,43,No,Early Market,Typical,New Vehicle Focus,Tightening,Yes,0
AMK-00044015,2024-09,Midsize / 3-Row SUV,Current Model Year,PHEV,Auto Show / Experiential,No,6,US – Rural / Exurban,Steady State,Light Incentives,Low,Balanced,Flat,Segmented,No,33,No,Early Market,Low Exposure,New Vehicle Focus,Tightening,No,0
AMK-00044016,2023-03,Compact SUV / Crossover,Current Model Year,ICE,Programmatic Video / CTV,No,3,US – Suburban / Secondary,Mid-Cycle Refresh,Moderate APR / Cash,High – New Entrants,Tight – Under 30,Flat,Segmented,Yes,54,No,Early Market,Typical,New Vehicle Focus,Tightening,No,0
AMK-00044017,2024-02,EV Crossover,Current Model Year,ICE,Programmatic Video / CTV,No,10,US – Suburban / Secondary,Mid-Cycle Refresh,Light Incentives,Low,Balanced,Adverse – Rising APR,Generic,No,46,No,Growing,Low Exposure,Mixed / Undecided,Benign,No,0
AMK-00044018,2025-07,Compact SUV / Crossover,Current Model Year,ICE,Dealer Co-op – Local Digital,No,6,Canada,Steady State,Light Incentives,Moderate,Tight – Under 30,Adverse – Rising APR,Segmented,No,30,No,Growing,Low Exposure,CPO / Used Consideration,Benign,No,0
AMK-00044019,2023-06,Compact SUV / Crossover,Prior Year Closeout,BEV,Email – CRM,Yes,4,US – Major Metro,New Launch / Fresh Reveal,Heavy Stair-Step Risk,Low,Balanced,Flat,Segmented,No,37,No,Growing,Typical,CPO / Used Consideration,Tightening,No,0
AMK-00044020,2022-01,EV Crossover,Current Model Year,ICE,Programmatic Video / CTV,No,4,Canada,Steady State,Moderate APR / Cash,High – New Entrants,Tight – Under 30,Adverse – Rising APR,1:1 Next-Best-Offer,No,26,No,Growing,Typical,New Vehicle Focus,Constrained,No,0
AMK-00044021,2023-08,Midsize Sedan,Prior Year Closeout,Hybrid,Paid Social,Yes,8,US – Suburban / Secondary,Steady State,Heavy Stair-Step Risk,Low,Balanced,Adverse – Rising APR,Generic,No,35,No,Growing,Low Exposure,New Vehicle Focus,Benign,No,0
AMK-00044022,2022-05,EV Crossover,Prior Year Closeout,PHEV,Dealer Co-op – Local Digital,Yes,9,US – Suburban / Secondary,Steady State,Light Incentives,Moderate,High – Over 60,Adverse – Rising APR,Segmented,No,48,No,Growing,Typical,New Vehicle Focus,Constrained,No,0
AMK-00044023,2025-02,EV Crossover,Prior Year Closeout,Hybrid,Programmatic Video / CTV,Yes,2,US – Rural / Exurban,Mid-Cycle Refresh,Light Incentives,Moderate,Tight – Under 30,Adverse – Rising APR,1:1 Next-Best-Offer,No,34,No,Early Market,Low Exposure,New Vehicle Focus,Benign,No,0
AMK-00044024,2023-10,EV Crossover,Current Model Year,BEV,Programmatic Video / CTV,Yes,9,US – Suburban / Secondary,New Launch / Fresh Reveal,Heavy Stair-Step Risk,Low,Balanced,Adverse – Rising APR,Segmented,Yes,34,No,Early Market,Typical,Mixed / Undecided,Tightening,Yes,1
AMK-00044025,2024-08,Midsize / 3-Row SUV,Current Model Year,ICE,Paid Search,Yes,1,US – Suburban / Secondary,Steady State,Light Incentives,Moderate,High – Over 60,Adverse – Rising APR,Generic,Yes,33,No,Mature EV Penetration,Typical,Mixed / Undecided,Benign,No,0
